run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v4_score512_01,4,128,0.7495187199674547,0.8678219318389893,0.046875,0.022580217824724923,0.0032189807971007628
v4_score512_01,5,128,0.07971139112487435,0.6175893545150757,0.2109375,0.004978650234988844,0.001949554425664197
v4_score_canary_01,1,4,-12.142184644937515,-1.9087677001953125,0.75,0.00418937997892495,0.013678293908014826
v4_score_canary_01,2,4,0.4015611708164215,0.4220455586910247,0.25,0.005902391392737575,0.0029160126578062495
v5_batch_prefix_canary_02,1,4,-11.84508612751961,-1.8710891008377075,0.75,0.00418937997892495,0.0134577872231602
v5_batch_prefix_canary_02,2,4,0.41316917538642883,0.5663805603981018,0.25,0.005902391392737575,0.003785417415201625
v5_budget64_01,1,128,0.4041788731701672,0.7539097666740417,0.1640625,0.00832393586460962,0.002499460708349893
v5_budget64_01,2,128,0.08119218423962593,0.565099686384201,0.2734375,0.004912187265290361,0.002675814575923096
v5_budget64_01,3,128,-0.10239355638623239,0.5534709692001343,0.265625,0.006175870039442037,0.0029204943712101746
v5_budget64_01,4,128,0.340117531362921,0.8070966601371765,0.1328125,0.022580217824724923,0.005004135680792336
v5_budget64_01,5,128,-0.5316571146249771,0.46784836053848267,0.3125,0.004978650234988844,0.0028516002057585354
v5_budget64_quality512_01,1,512,0.1986413064878434,0.7741789519786835,0.125,0.008972102177722215,0.0023016744798951064
v5_budget64_quality512_01,2,512,-0.1381146633066237,0.48369088768959045,0.265625,0.0048336370236938325,0.0025033342735695887
v5_budget64_quality512_01,3,512,-0.16692325577605516,0.5011008977890015,0.296875,0.00554752159223421,0.0027322618625475526
v5_budget64_quality512_01,4,512,0.4640875431941822,0.8096492290496826,0.11328125,0.021532517657760715,0.005160476392120422
v5_budget64_quality512_01,5,512,-0.7506936127319932,0.4047839641571045,0.33203125,0.004621846612280886,0.002917167339546673
v5_budget_canary_01,1,4,-11.84508612751961,-1.8710891008377075,0.75,0.00418937997892495,0.0134577872231602
v5_budget_canary_01,2,4,0.41316917538642883,0.5663805603981018,0.25,0.005902391392737575,0.003785417415201625
